,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n.mf
C10H10O5,209.0455114,10,10,5,0,0,0,0,0,CHO,Lignin,210.0527878,0.169514542,1,0.2,0.466666667,6,1,1,60.3,208.8120893,0.187910728,0,0.5,1,0,0,NA,Lignin,Lignin,Other,60.3,-139.4692168,0.115696287,0.098021263,603,-1394.692168,1
C10H10O5N4,265.0578564,10,10,5,4,0,0,0,0,CHON,Lignin,266.0651329,-0.050368239,1,0,0.428571429,8,3,-1,26.1,264.7618904,0.238109584,1.2,0.5,1,0.4,0,NA,Lignin,Lignin,Protein,26.1,-109.7430674,0.140794973,0.129741699,261,-1097.430674,1
C10H10O6,225.0404494,10,10,6,0,0,0,0,0,CHO,Lignin,226.0477259,0.05379819,1,0,0.428571429,6,0,0,54.6,224.7891672,0.21083275,0.2,0.6,1,0,0,NA,Lignin,Lignin,Other,54.6,-137.1784481,0.117093486,0.100964862,546,-1371.784481,1
C10H10O6N4,281.0528323,10,10,6,4,0,0,0,0,CHON,Lignin,282.0601088,-0.26481484,1,0,0.333333333,8,2,-2,20.4,280.7390062,0.260993802,1.4,0.6,1,0.4,0,NA,Lignin,Lignin,Protein,20.4,-107.4522987,0.147603705,0.134541725,204,-1074.522987,1
C10H10O7,241.03537,10,10,7,0,0,0,0,0,CHO,Tannin,242.0426465,0.025618998,1,0,0.384615385,6,-1,-1,48.9,240.7662278,0.23377224,0.4,0.7,1,0,0,NA,Tannin,Tannin,Other,48.9,-134.8876794,0.118339131,0.104031913,489,-1348.876794,1
C10H10O8,257.030304,10,10,8,0,0,0,0,0,CHO,Tannin,258.0375805,-0.050980302,1,0,0.333333333,6,-2,-2,43.2,256.7433017,0.256698348,0.6,0.8,1,0,0,NA,Tannin,Tannin,Other,43.2,-132.5969108,0.12331573,0.107214761,432,-1325.969108,1
C10H11O4N5,264.0738641,10,11,4,5,0,0,0,0,CHON,Lignin,265.0811406,-0.138574159,1,0,0.333333333,8,4,-1,26.1,263.7789969,0.221003102,1.2,0.4,1.1,0.5,0,NA,Lignin,Lignin,Protein,26.1,-105.7476831,0.140794973,0.133053263,261,-1057.476831,1
C10H11O5N,224.0564233,10,11,5,1,0,0,0,0,CHON,Lignin,225.0636998,0.100943441,1,0,0.384615385,6,1,0,54.6,223.8062399,0.193760121,0.2,0.5,1.1,0.1,0,NA,Lignin,Lignin,Other,54.6,-133.1830638,0.117093486,0.102852204,546,-1331.830638,2
C10H11O5N5,280.068733,10,11,5,5,0,0,0,0,CHON,Lignin,281.0760095,0.03207312,1,0,0.2,8,3,-2,20.4,279.7560058,0.243994242,1.4,0.5,1.1,0.5,0,NA,Lignin,Lignin,Protein,20.4,-103.4569144,0.147603705,0.13825398,204,-1034.569144,1
C10H11O6N,240.0513448,10,11,6,1,0,0,0,0,CHON,Lignin,241.0586213,0.065624162,1,0,0.333333333,6,0,-1,48.9,239.7833013,0.216698671,0.4,0.6,1.1,0.1,0,NA,Lignin,Lignin,Other,48.9,-130.8922951,0.118339131,0.106087964,489,-1308.922951,1
C10H11O6N5,296.0636807,10,11,6,5,0,0,0,0,CHON,Lignin,297.0709572,-0.081028047,1,0,0,8,2,-3,14.7,295.7330934,0.266906635,1.6,0.6,1.1,0.5,0,NA,Lignin,Lignin,Protein,14.7,-101.1661457,0.154960434,0.143635902,147,-1011.661457,1
C10H12O4N4,251.0785764,10,12,4,4,0,0,0,0,CHON,Lignin,252.0858528,0.008123514,1,0,0.25,7,3,-1,37.5,250.7982198,0.201780202,0.8,0.4,1.2,0.4,0,NA,Lignin,Lignin,Protein,37.5,-114.3246047,0.128690679,0.12068664,375,-1143.246047,1
C10H12O5,211.0611736,10,12,5,0,0,0,0,0,CHO,Lignin,212.0684501,0.110266396,1,0,0.333333333,5,0,0,66,210.8255009,0.174499147,-0.2,0.5,1.2,0,0,NA,Lignin,Lignin,Other,66,-141.7599854,0.114076155,0.095932566,660,-1417.599854,1
C10H12O5N2,239.0673352,10,12,5,2,0,0,0,0,CHON,Lignin,240.0746116,0.041150602,1,0,0.272727273,6,1,-1,48.9,238.8003904,0.199609562,0.4,0.5,1.2,0.2,0,NA,Lignin,Lignin,Protein,48.9,-126.8969108,0.118339131,0.108182685,489,-1268.969108,1
C10H12O5N4,267.0735078,10,12,5,4,0,0,0,0,CHON,Lignin,268.0807843,-0.055099487,1,0,0.142857143,7,2,-2,31.8,266.7752912,0.224708844,1,0.5,1.2,0.4,0,NA,Lignin,Lignin,Protein,31.8,-112.0338361,0.134503539,0.125112112,318,-1120.338361,1
C10H12O5S,243.0332768,10,12,5,0,0,1,0,0,CHOS,Lignin,244.0405532,-0.037010985,1,0,0.230769231,5,0,-1,60.3,242.7619036,0.238096377,0,0.5,1.2,0,0,NA,Lignin,Lignin,Other,60.3,-143.4646011,0.115696287,0.09631196,603,-1434.646011,1
