"","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class","delGcox0PerCmol","delGcoxPerCmol","lamO20","lamO2","delGd0","delGd","n.mf"
"C10H10O5",209.0455114,10,10,5,0,0,0,0,0,"CHO","Lignin",210.0527878,0.169514542,1,0.2,0.466666667,6,1,1,60.3,208.8120893,0.187910728,0,0.5,1,0,0,NA,"Lignin","Lignin","Other",60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112,1
"C10H10O5N2",237.0516402,10,10,5,2,0,0,0,0,"CHON","Lignin",238.0589167,0.230003686,1,0,0.454545455,7,2,0,43.2,236.7869462,0.213053759,0.6,0.5,1,0.2,0,NA,"Lignin","Lignin","Protein",43.2,-124.606142091934,0.123315729873717,0.111755883346236,432,-1246.06142091934,1
"C10H10O5S",241.0176131,10,10,5,0,0,1,0,0,"CHOS","Lignin",242.0248895,0.018946977,1,0,0.384615385,6,1,0,54.6,240.7484906,0.251509351,0.2,0.5,1,0,0,NA,"Lignin","Lignin","Other",54.6,-141.17383244059,0.117093485793402,0.0991106144174277,546,-1411.7383244059,2
"C10H10O6",225.0404494,10,10,6,0,0,0,0,0,"CHO","Lignin",226.0477259,0.05379819,1,0,0.428571429,6,0,0,54.6,224.7891672,0.21083275,0.2,0.6,1,0,0,NA,"Lignin","Lignin","Other",54.6,-137.178448105068,0.117093485793403,0.100964862168865,546,-1371.78448105068,1
"C10H10O6N2",253.0466122,10,10,6,2,0,0,0,0,"CHON","Lignin",254.0538887,-0.010339015,1,0,0.4,7,1,-1,37.5,252.7640581,0.235941884,0.8,0.6,1,0.2,0,NA,"Lignin","Lignin","Protein",37.5,-122.31537342089,0.128690678753946,0.115487116423076,375,-1223.1537342089,1
"C10H10O6S",257.012566,10,10,6,0,0,1,0,0,"CHOS","Lignin",258.0198424,-0.130574189,1,0,0.333333333,6,0,-1,48.9,256.7255834,0.27441656,0.4,0.6,1,0,0,NA,"Lignin","Lignin","Other",48.9,-138.883063769545,0.11833913086197,0.102013469450368,489,-1388.83063769545,1
"C10H10O7",241.03537,10,10,7,0,0,0,0,0,"CHO","Tannin",242.0426465,0.025618998,1,0,0.384615385,6,-1,-1,48.9,240.7662278,0.23377224,0.4,0.7,1,0,0,NA,"Tannin","Tannin","Other",48.9,-134.887679434023,0.11833913086197,0.104031912902608,489,-1348.87679434023,1
"C10H10O7S",273.0074568,10,10,7,0,0,1,0,0,"CHOS","Tannin",274.0147333,-0.036122856,1,0,0.272727273,6,-1,-2,43.2,272.7026142,0.297385768,0.6,0.7,1,0,0,NA,"Tannin","Tannin","Other",43.2,-136.592295098501,0.123315729873717,0.105009305453483,432,-1365.92295098501,1
"C10H10O8",257.030304,10,10,8,0,0,0,0,0,"CHO","Tannin",258.0375805,-0.050980302,1,0,0.333333333,6,-2,-2,43.2,256.7433017,0.256698348,0.6,0.8,1,0,0,NA,"Tannin","Tannin","Other",43.2,-132.596910762979,0.123315729873717,0.10721476065314,432,-1325.96910762979,1
"C10H10O8S",289.0023755,10,10,8,0,0,1,0,0,"CHOS","Tannin",290.009652,-0.048338122,1,0,0.2,6,-2,-3,37.5,288.6796729,0.320327095,0.8,0.8,1,0,0,NA,"Tannin","Tannin","Other",37.5,-134.301526427456,0.128690678753946,0.108078156451499,375,-1343.01526427456,1
