Sample_ID,Richness observed,Simpson's Diversity Index
SED_S19S.0001_D_Field,2419,0.999586606
SED_S19S.0001_M_Field,2331,0.999571
SED_S19S.0001_U_Field,2228,0.999551167
SED_S19S.0003_D_Field,1920,0.999479167
SED_S19S.0003_M_Field,879,0.998862344
SED_S19S.0003_U_Field,2298,0.999564839
SED_S19S.0004_M_Field,2118,0.999527856
SED_S19S.0006_D_Field,2014,0.999503476
SED_S19S.0006_M_Field,1832,0.999454148
SED_S19S.0006_U_Field,2377,0.999579302
SED_S19S.0008_M_Field,1167,0.999143102
SED_S19S.0009_M_Field,2326,0.999570077
SED_S19S.0009_U_Field,2374,0.99957877
SED_S19S.0010_D_Field,2174,0.999540018
SED_S19S.0010_M_Field,1393,0.999282125
SED_S19S.0010_U_Field,1786,0.99944009
SED_S19S.0011_D_Field,1639,0.999389872
SED_S19S.0011_M_Field,1661,0.999397953
SED_S19S.0011_U_Field,2523,0.999603646
SED_S19S.0012_D_Field,2451,0.999592003
SED_S19S.0012_M_Field,2037,0.999509082
SED_S19S.0012_U_Field,2171,0.999539383
SED_S19S.0013_D_Field,2158,0.999536608
SED_S19S.0013_M_Field,2090,0.999521531
SED_S19S.0013_U_Field,2101,0.999524036
SED_S19S.0014_D_Field,2175,0.99954023
SED_S19S.0014_M_Field,2261,0.999557718
SED_S19S.0014_U_Field,2119,0.999528079
SED_S19S.0015_D_Field,1368,0.999269006
SED_S19S.0015_U_Field,2352,0.99957483
SED_S19S.0016_D_Field,2034,0.999508358
SED_S19S.0016_M_Field,2094,0.999522445
SED_S19S.0016_U_Field,1211,0.999174236
SED_S19S.0017_D_Field,2161,0.999537251
SED_S19S.0017_M_Field,2238,0.999553172
SED_S19S.0017_U_Field,1991,0.99949774
SED_S19S.0018_D_Field,1790,0.999441341
SED_S19S.0018_M_Field,1866,0.999464094
SED_S19S.0018_U_Field,1606,0.999377335
SED_S19S.0019_D_Field,2086,0.999520614
SED_S19S.0019_M_Field,2117,0.999527633
SED_S19S.0019_U_Field,2182,0.999541705
SED_S19S.0020_D_Field,2380,0.999579832
SED_S19S.0020_M_Field,2218,0.999549143
SED_S19S.0020_U_Field,1657,0.9993965
SED_S19S.0021_D_Field,2233,0.999552172
SED_S19S.0021_M_Field,2148,0.999534451
SED_S19S.0021_U_Field,2317,0.999568407
SED_S19S.0022_D_Field,2450,0.999591837
SED_S19S.0022_M_Field,2311,0.999567287
SED_S19S.0022_U_Field,2340,0.99957265
SED_S19S.0023_D_Field,1742,0.999425947
SED_S19S.0023_M_Field,2091,0.99952176
SED_S19S.0023_U_Field,1676,0.999403341
SED_S19S.0024_D_Field,1363,0.999266324
SED_S19S.0024_M_Field,1691,0.999408634
SED_S19S.0025_D_Field,1954,0.999488229
SED_S19S.0025_M_Field,2285,0.999562363
SED_S19S.0025_U_Field,1912,0.999476987
SED_S19S.0026_M_Field,2269,0.999559277
SED_S19S.0026_U_Field,2113,0.999526739
SED_S19S.0027_D_Field,2277,0.999560826
SED_S19S.0027_M_Field,2353,0.999575011
SED_S19S.0027_U_Field,1933,0.999482669
SED_S19S.0028_D_Field,1611,0.999379268
SED_S19S.0029_D_Field,1923,0.999479979
SED_S19S.0029_M_Field,1969,0.999492128
SED_S19S.0029_U_Field,2172,0.999539595
SED_S19S.0030_M_Field,1113,0.999101527
SED_S19S.0030_U_Field,2170,0.999539171
SED_S19S.0031_D_Field,1989,0.999497235
SED_S19S.0031_M_Field,2226,0.999550764
SED_S19S.0031_U_Field,2139,0.999532492
SED_S19S.0032_D_Field,1720,0.999418605
SED_S19S.0032_M_Field,2355,0.999575372
SED_S19S.0032_U_Field,2429,0.999588308
SED_S19S.0033_M_Field,2589,0.99961375
SED_S19S.0033_U_Field,2193,0.999544004
SED_S19S.0034_D_Field,2210,0.999547511
SED_S19S.0034_M_Field,1429,0.99930021
SED_S19S.0034_U_Field,1916,0.999478079
SED_S19S.0035_M_Field,2749,0.999636231
SED_S19S.0035_U_Field,2010,0.999502488
SED_S19S.0036_D_Field,1282,0.999219969
SED_S19S.0036_M_Field,2087,0.999520843
SED_S19S.0036_U_Field,1747,0.99942759
SED_S19S.0037_D_Field,2133,0.999531177
SED_S19S.0037_U_Field,1865,0.999463807
SED_S19S.0038_D_Field,2001,0.99950025
SED_S19S.0038_M_Field,1785,0.999439776
SED_S19S.0038_U_Field,2215,0.999548533
SED_S19S.0039_D_Field,2082,0.999519693
SED_S19S.0039_M_Field,2388,0.99958124
SED_S19S.0039_U_Field,2089,0.999521302
SED_S19S.0040_M_Field,1460,0.999315068
SED_S19S.0040_U_Field,1985,0.999496222
SED_S19S.0041_D_Field,2153,0.999535532
SED_S19S.0041_M_Field,1801,0.999444753
SED_S19S.0041_U_Field,2150,0.999534884
SED_S19S.0042_D_Field,2097,0.999523128
SED_S19S.0042_M_Field,1982,0.999495459
SED_S19S.0042_U_Field,2131,0.999530737
SED_S19S.0043_D_Field,1766,0.999433749
SED_S19S.0043_M_Field,2282,0.999561788
SED_S19S.0043_U_Field,2343,0.999573197
SED_S19S.0044_D_Field,1942,0.999485067
SED_S19S.0044_M_Field,2221,0.999549752
