Sample_ID,Richness observed,Simpson's Diversity Index
SW_S19S.0003_U_1,2335,0.999571734
SW_S19S.0003_U_2,2560,0.999609375
SW_S19S.0003_U_3,2782,0.999640546
SW_S19S.0004_U_1,2823,0.999645767
SW_S19S.0004_U_2,2869,0.999651446
SW_S19S.0004_U_3,2802,0.999643112
SW_S19S.0005_U_1,3081,0.99967543
SW_S19S.0005_U_2,2408,0.999584718
SW_S19S.0005_U_3,2641,0.999621356
SW_S19S.0006_U_1,3122,0.999679693
SW_S19S.0006_U_2,2277,0.999560826
SW_S19S.0006_U_3,2786,0.999641062
SW_S19S.0007_U_1,2838,0.999647639
SW_S19S.0007_U_2,2571,0.999611046
SW_S19S.0007_U_3,1496,0.999331551
SW_S19S.0008_U_1,2779,0.999640158
SW_S19S.0008_U_2,2054,0.999513145
SW_S19S.0008_U_3,2642,0.999621499
SW_S19S.0009_U_1,2326,0.999570077
SW_S19S.0009_U_2,3174,0.99968494
SW_S19S.0010_U_1,3288,0.999695864
SW_S19S.0010_U_2,3026,0.999669531
SW_S19S.0010_U_3,2871,0.999651689
SW_S19S.0011_U_1,3148,0.999682338
SW_S19S.0011_U_2,3418,0.999707431
SW_S19S.0011_U_3,3395,0.999705449
SW_S19S.0012_U_1,2599,0.999615237
SW_S19S.0012_U_2,3079,0.999675219
SW_S19S.0012_U_3,3169,0.999684443
SW_S19S.0013_U_1,3243,0.999691644
SW_S19S.0013_U_2,3125,0.99968
SW_S19S.0013_U_3,3050,0.999672131
SW_S19S.0014_U_1,1612,0.999379653
SW_S19S.0014_U_2,1918,0.999478624
SW_S19S.0014_U_3,1898,0.99947313
SW_S19S.0015_U_1,2979,0.999664317
SW_S19S.0015_U_2,3244,0.999691739
SW_S19S.0015_U_3,3204,0.99968789
SW_S19S.0016_U_1,2159,0.999536823
SW_S19S.0016_U_2,2109,0.999525842
SW_S19S.0016_U_3,2222,0.999549955
SW_S19S.0017_U_1,2828,0.999646393
SW_S19S.0017_U_2,3197,0.999687207
SW_S19S.0017_U_3,2806,0.999643621
SW_S19S.0018_U_3,2448,0.999591503
SW_S19S.0019_U_1,962,0.998960499
SW_S19S.0019_U_3,2070,0.999516908
SW_S19S.0020_U_1,3330,0.9996997
SW_S19S.0020_U_2,3202,0.999687695
SW_S19S.0020_U_3,3258,0.999693063
