sample_id,cluster,Country,General_Vegetation,Weather,Hydrogeomorphology,Intermittent_or_Perennial,Sediment,US.or.DS.of.Gauge,Precipitation.Within.Week,Dam.Upstream.Site,Stream_Order,River_Gradient,Distance_DS.and.MS_meters,Distance_MS.and.US_meters,Primary.Sources.Flow.Variation,pH,Temp_degC,Approx.Distance.From.Gauge_meters,Number.Days.Since.Precip,NPOC_mg.L.asC,del2H_permil,del18O_permil,Cl_mgL,SO4_mgL,NO3_mgL,NO2_mgL,F_mgL,Richness observed,Simpson's Diversity Index
SW_S19S.0003_U_1,Average,Canada,Not vegetated,Partly cloudy,Single-channel straight,Perennial,Silt/mud (<0.0625mm),Downstream,Yes,No,7,Relatively flat/gentle gradient (e.g. valleys),10,10,Natural flow (seasonal). Glacial melt,6,17,100,1,1.27,-140,-18.75,0.3,9.8,0.19,0.04,0.07,2335,0.999571734
SW_S19S.0003_U_2,Average,Canada,Not vegetated,Partly cloudy,Single-channel straight,Perennial,Silt/mud (<0.0625mm),Downstream,Yes,No,7,Relatively flat/gentle gradient (e.g. valleys),10,10,Natural flow (seasonal). Glacial melt,6,17,100,1,1.8,,,0.31,8.03,0.23,0.04,0.07,2560,0.999609375
SW_S19S.0003_U_3,Most,Canada,Not vegetated,Partly cloudy,Single-channel straight,Perennial,Silt/mud (<0.0625mm),Downstream,Yes,No,7,Relatively flat/gentle gradient (e.g. valleys),10,10,Natural flow (seasonal). Glacial melt,6,17,100,1,1.15,,,0.31,8.62,0.23,0.04,0.06,2782,0.999640546
SW_S19S.0004_U_1,Most,Canada,Grass,Overcast. Raining,Single-channel straight,Perennial,Gravel/cobble (>2mm),Upstream,Yes,No,6,Relatively flat/gentle gradient (e.g. valleys),15,15,Natural flow (seasonal). Glacial melt,6.5,18,100,1,1.96,-129.3,-17.13,1.83,6.53,0.12,0.04,0.07,2823,0.999645767
SW_S19S.0004_U_2,Most,Canada,Grass,Overcast. Raining,Single-channel straight,Perennial,Gravel/cobble (>2mm),Upstream,Yes,No,6,Relatively flat/gentle gradient (e.g. valleys),15,15,Natural flow (seasonal). Glacial melt,6.5,18,100,1,1.93,,,2,6.66,0.12,0.04,0.08,2869,0.999651446
SW_S19S.0004_U_3,Most,Canada,Grass,Overcast. Raining,Single-channel straight,Perennial,Gravel/cobble (>2mm),Upstream,Yes,No,6,Relatively flat/gentle gradient (e.g. valleys),15,15,Natural flow (seasonal). Glacial melt,6.5,18,100,1,1.79,,,,,,,,2802,0.999643112
SW_S19S.0005_U_1,Most,Canada,Shrub. Grass,,Single-channel straight,,Silt/mud (<0.0625mm),,,,,Relatively flat/gentle gradient (e.g. valleys),13,12,,8,22,,,8.37,-91.5,-10.22,31.94,242.56,0.12,0.04,0.13,3081,0.99967543
SW_S19S.0005_U_2,Most,Canada,Shrub. Grass,,Single-channel straight,,Silt/mud (<0.0625mm),,,,,Relatively flat/gentle gradient (e.g. valleys),13,12,,8,22,,,8.11,,,33.9,259.29,0.96,0.04,0.16,2408,0.999584718
SW_S19S.0005_U_3,Most,Canada,Shrub. Grass,,Single-channel straight,,Silt/mud (<0.0625mm),,,,,Relatively flat/gentle gradient (e.g. valleys),13,12,,8,22,,,8.75,,,34.06,262.38,0.38,0.04,0.16,2641,0.999621356
SW_S19S.0006_U_1,Most,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Perennial,Gravel/cobble (>2mm),Upstream,No,No,2,Relatively flat/gentle gradient (e.g. valleys),40.5,29,Natural flow (seasonal),7.5,25.7,17,6,1.43,,,311.31,33.45,6.43,0.04,0.02,3122,0.999679693
