sample_id,cluster,alpha,simpson,river.id,sample.type,location.id,sampling.type,replicate.id,original.id,Date,Start_Time,Time_zone,Stream_Name,Stream_Order,City,State_or_Province,Country,General_Vegetation,Weather,Hydrogeomorphology,River_Gradient,Intermittent_or_Perennial,Sediment,Distance_DS.and.MS_meters,Distance_MS.and.US_meters,Primary.Sources.Flow.Variation,pH,Temp_degC,DO_perc.sat,DO_mg.per.L,Algal.Mat.Coverage,Depositional.Type,Latitude_dec.deg,Longitude_dec.deg,Macrophyte.Coverage,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,Sampler_Organization,Associated_Site,Sampler_Name,Approx.Distance.From.Gauge_meters,Discharge_Link,US.or.DS.of.Gauge,Gauge_Latitude_dec.deg,Gauge_Longitude_dec.deg,Met.Station.Nearby,Met.Station,Precipitation.Within.Week,Number.Days.Since.Precip,Dam.Upstream.Site,Dam,Contamination.Source.Upstream,Contamination.Source,Water.Quality.Data.Available,Water.Quality.Data,Known.Data,Published.Work.On.Site,Published.Work,Notes,Study_Code,resprate_mg.L.h,resp.inc.time.min,resp.r2,resp.pval,NPOC_mg.L.asC,del2H_permil,del18O_permil,Cl_mgL,SO4_mgL,NO3_mgL,NO2_mgL,F_mgL
SW_S19S.0003_U_1,Average,2335,0.999571734,S19S.0003,SW,U,,1.0,S19S_0003_ICR.1_p05,8-Sep-19,15:15,PST,Thompson ,7.0,Kamloops,British Columbia,Canada,Not vegetated,Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),10.0,10.0,Natural flow (seasonal). Glacial melt,6,17,,,,,,,,,,Thompson Rivers University ,,Eric Bottos,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023,Downstream,50.6875,-120.36388,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,,Yes,City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.,No,,,No,,,WHONDRS_S19S,,,,,1.27,-140.0,-18.75,0.3,9.8,0.19,0.04,0.07
SW_S19S.0003_U_2,Average,2560,0.999609375,S19S.0003,SW,U,,2.0,S19S_0003_ICR.2_p05,8-Sep-19,15:15,PST,Thompson ,7.0,Kamloops,British Columbia,Canada,Not vegetated,Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),10.0,10.0,Natural flow (seasonal). Glacial melt,6,17,,,,,,,,,,Thompson Rivers University ,,Eric Bottos,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023,Downstream,50.6875,-120.36388,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,,Yes,City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.,No,,,No,,,WHONDRS_S19S,,,,,1.8,,,0.31,8.03,0.23,0.04,0.07
SW_S19S.0003_U_3,Most,2782,0.999640546,S19S.0003,SW,U,,3.0,S19S_0003_ICR.3_p05,8-Sep-19,15:15,PST,Thompson ,7.0,Kamloops,British Columbia,Canada,Not vegetated,Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),10.0,10.0,Natural flow (seasonal). Glacial melt,6,17,,,,,,,,,,Thompson Rivers University ,,Eric Bottos,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LF023,Downstream,50.6875,-120.36388,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,,Yes,City of Kamloops. population of ~90.000. sample site located in city. Farmland. ~2km upstream.,No,,,No,,,WHONDRS_S19S,,,,,1.15,,,0.31,8.62,0.23,0.04,0.06
SW_S19S.0004_U_1,Most,2823,0.999645767,S19S.0004,SW,U,,1.0,S19S_0004_ICR.1_p05,8-Sep-19,12:00,PST,South Thompson,6.0,Chase,British Columbia,Canada,Grass,Overcast. Raining,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),15.0,15.0,Natural flow (seasonal). Glacial melt,6.5,18,,,,,,,,,,Thompson Rivers University ,,Eric Bottos,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031,Upstream,50.76305,-119.74305,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,,Yes,Town of Chase. population of 2300. ~1km away from sample site,No,,,No,,,WHONDRS_S19S,,,,,1.96,-129.3,-17.13,1.83,6.53,0.12,0.04,0.07
SW_S19S.0004_U_2,Most,2869,0.999651446,S19S.0004,SW,U,,2.0,S19S_0004_ICR.2_p05,8-Sep-19,12:00,PST,South Thompson,6.0,Chase,British Columbia,Canada,Grass,Overcast. Raining,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),15.0,15.0,Natural flow (seasonal). Glacial melt,6.5,18,,,,,,,,,,Thompson Rivers University ,,Eric Bottos,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031,Upstream,50.76305,-119.74305,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,,Yes,Town of Chase. population of 2300. ~1km away from sample site,No,,,No,,,WHONDRS_S19S,,,,,1.93,,,2.0,6.66,0.12,0.04,0.08
SW_S19S.0004_U_3,Most,2802,0.999643112,S19S.0004,SW,U,,3.0,S19S_0004_ICR.3_p05,8-Sep-19,12:00,PST,South Thompson,6.0,Chase,British Columbia,Canada,Grass,Overcast. Raining,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),15.0,15.0,Natural flow (seasonal). Glacial melt,6.5,18,,,,,,,,,,Thompson Rivers University ,,Eric Bottos,100,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=08LE031,Upstream,50.76305,-119.74305,Yes,Kamloops A: https://climate.weather.gc.ca/climate_data/hourly_data_e.html?timeframe=1&Year=2019&Month=9&Day=30&hlyRange=2013-06-11%7C2019-09-30&dlyRange=2013-06-13%7C2019-09-30&mlyRange=%7C&StationID=51423&Prov=BC&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=1&searchMethod=contains&txtStationName=kamloops,Yes,1,No,,Yes,Town of Chase. population of 2300. ~1km away from sample site,No,,,No,,,WHONDRS_S19S,,,,,1.79,,,,,,,
SW_S19S.0005_U_1,Most,3081,0.99967543,S19S.0005,SW,U,,1.0,S19S_0005_ICR.1_p05,6-Aug-19,11:23,CDT,Assiniboine,,Winnipeg,Manitoba,Canada,Shrub. Grass,,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),,Silt/mud (<0.0625mm),13.0,12.0,,8,22,,,,,,,,,,Thompson Rivers University,,Eric Bottos,,,,,,,,,,,,,,,,,,,partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m ),WHONDRS_S19S,,,,,8.37,-91.5,-10.22,31.94,242.56,0.12,0.04,0.13
SW_S19S.0005_U_2,Most,2408,0.999584718,S19S.0005,SW,U,,2.0,S19S_0005_ICR.2_p05,6-Aug-19,11:23,CDT,Assiniboine,,Winnipeg,Manitoba,Canada,Shrub. Grass,,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),,Silt/mud (<0.0625mm),13.0,12.0,,8,22,,,,,,,,,,Thompson Rivers University,,Eric Bottos,,,,,,,,,,,,,,,,,,,partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m ),WHONDRS_S19S,,,,,8.11,,,33.9,259.29,0.96,0.04,0.16
SW_S19S.0005_U_3,Most,2641,0.999621356,S19S.0005,SW,U,,3.0,S19S_0005_ICR.3_p05,6-Aug-19,11:23,CDT,Assiniboine,,Winnipeg,Manitoba,Canada,Shrub. Grass,,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),,Silt/mud (<0.0625mm),13.0,12.0,,8,22,,,,,,,,,,Thompson Rivers University,,Eric Bottos,,,,,,,,,,,,,,,,,,,partly cloudy light rain. used second filter for replicate 3 as filter clogged. used first filter for RNA sample. very muddy so samples close to shore (1-2m ),WHONDRS_S19S,,,,,8.75,,,34.06,262.38,0.38,0.04,0.16
SW_S19S.0006_U_1,Most,3122,0.999679693,S19S.0006,SW,U,,1.0,S19S_0006_ICR.1_p05,29-Jul-19,9:45,EST,Dead Run,2.0,Baltimore,Maryland,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),40.5,29.0,Natural flow (seasonal),7.5,25.7,,,,,,,,,,Baltimore Ecosystem Study,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock,17,https://waterdata.usgs.gov/md/nwis/uv?site_no=01589330,Upstream,39.31122222,-76.71666667,Yes,Baltimore Washington International Airport https://w1.weather.gov/data/obhistory/KBWI.html,No,6,No,,Yes,major highway I-70,Yes,,,Yes,,Conductivity: 1430 millisiemens. Conductivity and temperature tested with ECTestr11 Dual Range. Amber tube with yellow tape was mistakenly briefly unscrewed before sampling. ,WHONDRS_S19S,,,,,1.43,,,311.31,33.45,6.43,0.04,0.02
