sample_id,label,iter0,iter1,iter2
SW_S19S.0003_U_1,0,0.0,,
SW_S19S.0003_U_2,1,,0.0,
SW_S19S.0003_U_3,0,,,0.0
SW_S19S.0004_U_1,0,0.0,,
SW_S19S.0004_U_2,0,,0.0,
SW_S19S.0004_U_3,0,,,0.0
SW_S19S.0005_U_1,0,0.0,,
SW_S19S.0005_U_2,0,,0.0,
SW_S19S.0005_U_3,0,,,0.0
SW_S19S.0006_U_1,0,1.0,,
SW_S19S.0006_U_2,2,,2.0,
SW_S19S.0006_U_3,0,,,0.0
SW_S19S.0007_U_1,1,1.0,,
SW_S19S.0007_U_2,1,,1.0,
SW_S19S.0007_U_3,2,,,0.0
SW_S19S.0008_U_1,1,1.0,,
SW_S19S.0008_U_2,1,,1.0,
SW_S19S.0008_U_3,1,,,0.0
SW_S19S.0009_U_1,0,2.0,,
SW_S19S.0009_U_2,0,,0.0,
SW_S19S.0010_U_1,0,0.0,,
SW_S19S.0010_U_2,0,,0.0,
SW_S19S.0010_U_3,0,,,0.0
SW_S19S.0011_U_1,0,0.0,,
SW_S19S.0011_U_2,0,,0.0,
SW_S19S.0011_U_3,0,,,0.0
SW_S19S.0012_U_1,0,0.0,,
SW_S19S.0012_U_2,0,,0.0,
SW_S19S.0012_U_3,0,,,0.0
SW_S19S.0013_U_1,0,0.0,,
SW_S19S.0013_U_2,0,,2.0,
SW_S19S.0013_U_3,0,,,0.0
SW_S19S.0014_U_1,2,2.0,,
SW_S19S.0014_U_2,2,,2.0,
SW_S19S.0014_U_3,2,,,2.0
SW_S19S.0015_U_1,0,0.0,,
SW_S19S.0015_U_2,0,,0.0,
SW_S19S.0015_U_3,0,,,0.0
SW_S19S.0016_U_1,2,2.0,,
SW_S19S.0016_U_2,2,,2.0,
SW_S19S.0016_U_3,2,,,2.0
SW_S19S.0017_U_1,0,0.0,,
SW_S19S.0017_U_2,0,,0.0,
SW_S19S.0017_U_3,0,,,0.0
SW_S19S.0018_U_3,1,,,1.0
SW_S19S.0019_U_1,2,2.0,,
SW_S19S.0019_U_3,1,,,2.0
SW_S19S.0020_U_1,0,0.0,,
SW_S19S.0020_U_2,0,,0.0,
SW_S19S.0020_U_3,0,,,0.0
SW_S19S.0021_U_1,0,0.0,,
SW_S19S.0021_U_2,0,,0.0,
SW_S19S.0021_U_3,0,,,0.0
SW_S19S.0022_U_1,1,1.0,,
SW_S19S.0022_U_2,1,,0.0,
SW_S19S.0022_U_3,2,,,0.0
