,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
SED_S19S.0001_D_Field,214,80,148,696,214,30,795,153,89
SED_S19S.0001_M_Field,207,79,148,678,194,28,762,160,75
SED_S19S.0001_U_Field,204,79,135,597,229,27,758,129,70
SED_S19S.0003_D_Field,120,46,156,608,176,19,584,179,32
SED_S19S.0003_M_Field,45,10,50,168,165,13,398,10,20
SED_S19S.0003_U_Field,135,47,158,652,284,22,746,160,94
SED_S19S.0004_M_Field,176,68,89,478,263,29,816,79,120
SED_S19S.0006_D_Field,180,67,151,611,187,12,652,113,41
SED_S19S.0006_M_Field,165,54,75,576,178,15,632,86,51
SED_S19S.0006_U_Field,166,69,139,751,272,20,762,138,60
SED_S19S.0008_M_Field,85,16,35,307,188,23,449,54,10
SED_S19S.0009_M_Field,207,81,127,648,241,33,787,119,83
SED_S19S.0009_U_Field,199,90,137,670,240,27,770,160,81
SED_S19S.0010_D_Field,175,54,100,562,241,31,803,119,89
SED_S19S.0010_M_Field,92,18,67,306,253,31,534,46,46
SED_S19S.0010_U_Field,107,30,109,545,192,29,608,105,61
SED_S19S.0011_D_Field,101,19,167,553,171,14,460,125,29
SED_S19S.0011_M_Field,111,29,124,548,178,22,530,90,29
SED_S19S.0011_U_Field,166,52,222,784,262,30,754,190,63
SED_S19S.0012_D_Field,200,69,218,647,224,39,763,205,86
SED_S19S.0012_M_Field,136,41,237,583,183,23,567,203,64
SED_S19S.0012_U_Field,179,63,203,560,211,18,686,196,55
SED_S19S.0013_D_Field,137,62,164,778,185,19,606,159,48
SED_S19S.0013_M_Field,145,67,126,671,234,26,664,107,50
SED_S19S.0013_U_Field,150,67,165,665,203,22,646,133,50
SED_S19S.0014_D_Field,152,58,155,666,229,27,708,120,60
SED_S19S.0014_M_Field,160,73,168,739,198,17,711,126,69
SED_S19S.0014_U_Field,145,61,199,727,179,15,605,161,27
SED_S19S.0015_D_Field,102,24,102,351,195,20,440,82,52
SED_S19S.0015_U_Field,183,66,207,628,232,21,761,152,102
SED_S19S.0016_D_Field,206,81,91,501,216,28,769,73,69
SED_S19S.0016_M_Field,177,83,158,564,234,28,678,111,61
SED_S19S.0016_U_Field,141,43,56,250,137,19,519,24,22
SED_S19S.0017_D_Field,193,72,124,687,176,18,680,149,62
SED_S19S.0017_M_Field,193,68,128,690,183,23,739,150,64
SED_S19S.0017_U_Field,185,69,144,622,152,14,631,147,27
SED_S19S.0018_D_Field,172,57,92,405,197,30,671,93,73
SED_S19S.0018_M_Field,155,53,110,404,224,35,701,75,109
SED_S19S.0018_U_Field,115,32,73,403,252,29,594,46,62
SED_S19S.0019_D_Field,186,58,122,430,265,28,781,108,108
SED_S19S.0019_M_Field,165,55,180,507,225,26,748,130,81
SED_S19S.0019_U_Field,195,72,118,550,228,21,794,128,76
SED_S19S.0020_D_Field,180,66,223,795,167,15,685,200,49
SED_S19S.0020_M_Field,169,61,211,786,154,15,601,190,31
SED_S19S.0020_U_Field,159,74,113,532,139,10,480,129,21
SED_S19S.0021_D_Field,191,94,142,717,193,25,695,127,49
SED_S19S.0021_M_Field,148,51,173,656,253,18,640,167,42
SED_S19S.0021_U_Field,156,53,206,727,225,21,674,199,56
SED_S19S.0022_D_Field,183,65,250,734,184,24,737,198,75
SED_S19S.0022_M_Field,133,43,251,729,158,19,701,204,73
SED_S19S.0022_U_Field,183,59,241,738,148,24,679,203,65
SED_S19S.0023_D_Field,134,45,89,422,291,28,645,39,49
SED_S19S.0023_M_Field,175,67,113,601,247,29,696,84,79
SED_S19S.0023_U_Field,115,37,94,424,276,31,579,41,79
SED_S19S.0024_D_Field,77,33,69,317,285,25,496,36,25
SED_S19S.0024_M_Field,122,44,108,375,292,26,619,43,62
SED_S19S.0025_D_Field,126,52,119,544,283,22,684,52,72
SED_S19S.0025_M_Field,183,72,109,612,247,27,829,113,93
SED_S19S.0025_U_Field,152,58,112,481,269,30,675,71,64
SED_S19S.0026_M_Field,152,42,238,619,210,27,714,182,85
SED_S19S.0026_U_Field,138,38,208,577,230,28,638,176,80
SED_S19S.0027_D_Field,207,77,139,553,243,37,779,132,110
SED_S19S.0027_M_Field,204,78,174,589,242,33,772,183,78
SED_S19S.0027_U_Field,165,59,100,467,262,26,706,103,45
SED_S19S.0028_D_Field,128,40,87,386,235,27,612,20,76
SED_S19S.0029_D_Field,143,37,133,588,215,20,632,105,50
SED_S19S.0029_M_Field,123,39,169,585,274,27,598,108,46
SED_S19S.0029_U_Field,165,57,117,595,248,29,783,90,88
SED_S19S.0030_M_Field,66,12,72,183,214,25,481,22,38
SED_S19S.0030_U_Field,209,87,110,575,206,34,785,79,85
SED_S19S.0031_D_Field,177,56,97,524,222,38,697,111,67
SED_S19S.0031_M_Field,203,79,93,623,216,27,795,112,78
SED_S19S.0031_U_Field,188,58,94,595,195,32,773,112,92
SED_S19S.0032_D_Field,120,47,115,466,221,27,576,103,45
SED_S19S.0032_M_Field,148,52,180,669,242,39,757,173,95
SED_S19S.0032_U_Field,155,49,190,658,287,31,796,171,92
SED_S19S.0033_M_Field,208,76,141,723,246,37,877,149,132
SED_S19S.0033_U_Field,172,62,103,521,256,26,842,97,114
SED_S19S.0034_D_Field,153,50,214,651,248,24,703,97,70
SED_S19S.0034_M_Field,107,28,111,316,214,28,537,33,55
SED_S19S.0034_U_Field,135,45,183,519,219,28,649,68,70
