,0,1,2,3,4
C23H16O18,59,10,0,0,31
C20H30O22N2S,56,11,4,0,29
C31H28O16,54,0,7,0,39
C36H44O15,54,7,4,0,36
C16H14O4,52,7,3,0,38
C18H19O14P,52,19,0,0,29
C27H37O17N4P,52,6,3,0,39
C42H31O8P,52,0,7,0,41
C19H16O17,50,14,2,2,32
C21H24O5,50,15,12,0,24
C22H45O12S2P,50,6,6,0,38
C23H32O22N2S,50,14,0,0,36
C26H35O18N4P,50,7,0,0,43
C30H30O12,50,11,18,0,21
C33H57O16S2P,50,0,7,0,43
C37H30O5,13,48,26,0,13
C23H29O8P,14,45,21,14,7
C28H37O9P,19,45,16,3,16
C29H37O11P,21,44,26,0,9
C19H19O12P,19,41,0,3,38
C20H17O5SP,14,41,10,0,34
C24H31O8P,22,41,22,7,8
C20H40O12,11,39,11,11,29
C33H24O3,13,38,13,9,27
C26H31O11P,15,38,25,6,17
C18H22O7N2,3,3,71,3,20
C17H22O7N2,9,3,64,3,21
C18H20O9N2,7,0,57,11,25
C14H26O9S,22,4,56,4,15
C17H18O6N2,0,8,55,5,32
C20H26O9NP,3,14,55,0,28
C14H27O8N2P,0,14,54,14,18
C17H20O6N2,6,9,54,3,29
C17H18O8N2,4,6,52,2,36
C19H24O9NP,5,11,52,0,32
C14H12ONS2P,20,17,23,20,20
C20H5O17SP,11,22,19,19,30
C16H33O12S2P,6,26,24,18,26
C19H41O4P,9,29,26,18,18
C28H45O4P,21,11,21,18,29
C10H23O10SP,3,33,27,17,20
C14H20O11N4S,10,24,31,17,17
C16H33O5N,4,27,35,15,19
C19H5O16P,12,12,27,15,33
C22H30O2N4S,15,15,15,15,41
C44H47OSP,7,15,26,15,37
C12H10O14N3P,22,15,22,15,25
C14H25O9N2P,7,15,44,15,20
C14H27O10N2P,2,12,45,15,25
C14H27O9N2P,4,15,42,15,25
C22H8O16N4S,24,15,15,15,32
C27H17O3N2P,5,28,18,15,33
C29H20O7,7,4,4,0,85
C12H10O8N2,16,0,0,0,84
C14H14O10N2,5,2,9,0,84
C14H9O10N,11,0,5,0,84
C16H20O14,12,3,0,0,84
C17H16O12S,12,0,3,0,84
C27H20O5N3SP,13,0,3,0,84
C21H20O13N2,3,0,13,0,83
C24H29O9SP,7,0,10,0,83
C15H14O5N2,8,0,11,0,82
C17H8O12,18,0,0,0,82
C20H22O13N2,8,0,10,0,82
C21H10O12,15,3,0,0,82
C21H13O13N,15,2,0,0,82
