,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
SW_S19S.0003_U_1,89.0,32.0,280.0,1276.0,37.0,8.0,230.0,367.0,16.0
SW_S19S.0003_U_2,90.0,33.0,272.0,1421.0,51.0,15.0,273.0,382.0,23.0
SW_S19S.0003_U_3,79.0,39.0,346.0,1544.0,37.0,12.0,241.0,462.0,22.0
SW_S19S.0004_U_1,103.0,39.0,317.0,1517.0,46.0,8.0,301.0,465.0,27.0
SW_S19S.0004_U_2,100.0,45.0,311.0,1578.0,46.0,12.0,287.0,462.0,28.0
SW_S19S.0004_U_3,95.0,41.0,303.0,1559.0,42.0,8.0,281.0,446.0,27.0
SW_S19S.0005_U_1,96.0,37.0,368.0,1735.0,34.0,10.0,292.0,486.0,23.0
SW_S19S.0005_U_2,86.0,29.0,252.0,1360.0,21.0,4.0,211.0,436.0,9.0
SW_S19S.0005_U_3,88.0,31.0,291.0,1489.0,31.0,8.0,221.0,469.0,13.0
SW_S19S.0006_U_1,98.0,30.0,307.0,1856.0,79.0,15.0,354.0,350.0,33.0
SW_S19S.0006_U_2,70.0,17.0,212.0,1339.0,58.0,6.0,271.0,297.0,7.0
SW_S19S.0006_U_3,84.0,31.0,247.0,1665.0,76.0,10.0,327.0,322.0,24.0
SW_S19S.0007_U_1,74.0,27.0,334.0,1615.0,70.0,19.0,280.0,379.0,40.0
SW_S19S.0007_U_2,65.0,16.0,294.0,1484.0,50.0,15.0,251.0,364.0,32.0
SW_S19S.0007_U_3,36.0,7.0,138.0,896.0,28.0,8.0,164.0,207.0,12.0
SW_S19S.0008_U_1,72.0,26.0,363.0,1570.0,53.0,18.0,257.0,384.0,36.0
SW_S19S.0008_U_2,42.0,11.0,257.0,1180.0,35.0,10.0,196.0,302.0,21.0
SW_S19S.0008_U_3,62.0,21.0,353.0,1486.0,45.0,13.0,254.0,369.0,39.0
SW_S19S.0009_U_1,63.0,17.0,256.0,1369.0,24.0,10.0,218.0,352.0,17.0
SW_S19S.0009_U_2,103.0,44.0,398.0,1757.0,50.0,14.0,301.0,478.0,29.0
SW_S19S.0010_U_1,105.0,42.0,420.0,1800.0,60.0,12.0,339.0,471.0,39.0
SW_S19S.0010_U_2,93.0,30.0,344.0,1715.0,53.0,13.0,300.0,451.0,27.0
SW_S19S.0010_U_3,83.0,28.0,318.0,1640.0,65.0,8.0,292.0,411.0,26.0
SW_S19S.0011_U_1,109.0,58.0,403.0,1641.0,81.0,10.0,373.0,436.0,37.0
SW_S19S.0011_U_2,128.0,62.0,413.0,1785.0,92.0,20.0,421.0,459.0,38.0
SW_S19S.0011_U_3,123.0,64.0,424.0,1754.0,81.0,12.0,407.0,494.0,36.0
SW_S19S.0012_U_1,64.0,21.0,371.0,1455.0,26.0,7.0,207.0,423.0,25.0
SW_S19S.0012_U_2,77.0,34.0,437.0,1718.0,44.0,12.0,257.0,463.0,37.0
SW_S19S.0012_U_3,74.0,30.0,464.0,1754.0,46.0,12.0,268.0,485.0,36.0
SW_S19S.0013_U_1,79.0,26.0,518.0,1768.0,51.0,12.0,286.0,463.0,40.0
SW_S19S.0013_U_2,73.0,23.0,503.0,1711.0,57.0,10.0,278.0,435.0,35.0
SW_S19S.0013_U_3,82.0,27.0,500.0,1655.0,44.0,8.0,252.0,458.0,24.0
SW_S19S.0014_U_1,64.0,23.0,75.0,1080.0,41.0,12.0,246.0,62.0,9.0
SW_S19S.0014_U_2,81.0,27.0,78.0,1263.0,61.0,11.0,306.0,79.0,12.0
SW_S19S.0014_U_3,82.0,32.0,98.0,1232.0,48.0,15.0,279.0,100.0,12.0
SW_S19S.0015_U_1,93.0,35.0,363.0,1622.0,70.0,13.0,321.0,436.0,26.0
SW_S19S.0015_U_2,122.0,44.0,375.0,1713.0,97.0,17.0,394.0,451.0,31.0
SW_S19S.0015_U_3,120.0,60.0,396.0,1651.0,68.0,8.0,378.0,489.0,34.0
SW_S19S.0016_U_1,45.0,28.0,104.0,1537.0,51.0,12.0,256.0,86.0,40.0
SW_S19S.0016_U_2,34.0,9.0,124.0,1405.0,43.0,16.0,192.0,265.0,21.0
SW_S19S.0016_U_3,53.0,29.0,96.0,1564.0,73.0,16.0,281.0,72.0,38.0
SW_S19S.0017_U_1,84.0,34.0,384.0,1585.0,32.0,6.0,256.0,429.0,18.0
SW_S19S.0017_U_2,95.0,42.0,425.0,1770.0,60.0,11.0,331.0,432.0,31.0
SW_S19S.0017_U_3,89.0,30.0,370.0,1564.0,38.0,7.0,264.0,422.0,22.0
SW_S19S.0018_U_3,67.0,15.0,261.0,1452.0,50.0,16.0,223.0,332.0,32.0
SW_S19S.0019_U_1,37.0,8.0,56.0,570.0,58.0,17.0,145.0,64.0,7.0
SW_S19S.0019_U_3,68.0,12.0,201.0,1192.0,59.0,18.0,240.0,254.0,26.0
SW_S19S.0020_U_1,106.0,41.0,427.0,1828.0,65.0,14.0,332.0,487.0,30.0
SW_S19S.0020_U_2,95.0,47.0,429.0,1744.0,49.0,12.0,309.0,480.0,37.0
SW_S19S.0020_U_3,104.0,47.0,427.0,1765.0,64.0,10.0,319.0,485.0,37.0
SW_S19S.0021_U_1,112.0,52.0,354.0,1685.0,95.0,15.0,380.0,376.0,35.0
SW_S19S.0021_U_2,116.0,52.0,381.0,1866.0,81.0,13.0,402.0,428.0,43.0
SW_S19S.0021_U_3,112.0,55.0,366.0,1790.0,67.0,9.0,383.0,434.0,39.0
SW_S19S.0022_U_1,63.0,15.0,249.0,1201.0,55.0,15.0,235.0,277.0,12.0
SW_S19S.0022_U_2,76.0,21.0,344.0,1415.0,52.0,14.0,224.0,395.0,22.0
SW_S19S.0022_U_3,67.0,17.0,340.0,1375.0,42.0,6.0,229.0,336.0,17.0
SW_S19S.0023_U_1,69.0,21.0,336.0,1439.0,33.0,5.0,218.0,402.0,11.0
SW_S19S.0023_U_2,66.0,18.0,374.0,1650.0,33.0,10.0,231.0,422.0,16.0
SW_S19S.0023_U_3,90.0,28.0,421.0,1806.0,58.0,10.0,301.0,448.0,28.0
SW_S19S.0024_U_1,52.0,4.0,47.0,732.0,51.0,16.0,214.0,17.0,7.0
SW_S19S.0025_U_1,63.0,23.0,309.0,1520.0,38.0,9.0,243.0,379.0,20.0
SW_S19S.0025_U_2,69.0,28.0,300.0,1554.0,50.0,9.0,249.0,350.0,19.0
SW_S19S.0025_U_3,57.0,24.0,286.0,1590.0,38.0,7.0,237.0,361.0,17.0
SW_S19S.0026_U_1,51.0,18.0,230.0,1097.0,28.0,14.0,167.0,310.0,11.0
SW_S19S.0026_U_2,46.0,13.0,238.0,1022.0,18.0,8.0,151.0,306.0,6.0
SW_S19S.0026_U_3,65.0,21.0,436.0,1595.0,40.0,13.0,233.0,417.0,29.0
SW_S19S.0027_U_1,56.0,15.0,246.0,1471.0,36.0,10.0,205.0,409.0,26.0
SW_S19S.0027_U_2,57.0,27.0,305.0,1586.0,29.0,8.0,201.0,409.0,37.0
SW_S19S.0027_U_3,53.0,21.0,286.0,1459.0,31.0,13.0,185.0,367.0,29.0
SW_S19S.0028_U_1,17.0,12.0,180.0,1466.0,29.0,10.0,117.0,265.0,22.0
SW_S19S.0028_U_2,32.0,22.0,277.0,1703.0,39.0,11.0,152.0,295.0,30.0
SW_S19S.0028_U_3,27.0,21.0,296.0,1669.0,31.0,11.0,145.0,310.0,31.0
SW_S19S.0029_U_2,47.0,21.0,224.0,1662.0,45.0,13.0,199.0,325.0,35.0
SW_S19S.0029_U_3,47.0,25.0,243.0,1671.0,47.0,14.0,208.0,294.0,30.0
SW_S19S.0030_U_1,56.0,6.0,186.0,1131.0,45.0,18.0,192.0,303.0,13.0
SW_S19S.0030_U_3,56.0,10.0,179.0,996.0,46.0,16.0,183.0,258.0,12.0
SW_S19S.0031_U_1,59.0,13.0,201.0,1159.0,50.0,18.0,201.0,302.0,13.0
SW_S19S.0031_U_2,40.0,8.0,124.0,832.0,32.0,14.0,131.0,213.0,3.0
SW_S19S.0031_U_3,50.0,7.0,154.0,944.0,37.0,15.0,167.0,209.0,12.0
SW_S19S.0032_U_1,71.0,26.0,342.0,1338.0,60.0,16.0,265.0,387.0,29.0
SW_S19S.0032_U_2,72.0,23.0,390.0,1590.0,70.0,21.0,278.0,397.0,39.0
SW_S19S.0032_U_3,76.0,24.0,448.0,1644.0,64.0,20.0,269.0,432.0,41.0
SW_S19S.0033_U_2,61.0,11.0,303.0,1434.0,55.0,17.0,225.0,346.0,27.0
SW_S19S.0033_U_3,69.0,23.0,319.0,1507.0,54.0,15.0,251.0,365.0,31.0
SW_S19S.0034_U_1,54.0,24.0,354.0,1581.0,41.0,12.0,209.0,372.0,32.0
SW_S19S.0034_U_2,37.0,13.0,235.0,1353.0,26.0,9.0,170.0,304.0,17.0
SW_S19S.0034_U_3,48.0,15.0,313.0,1550.0,30.0,11.0,190.0,370.0,26.0
SW_S19S.0035_U_1,59.0,26.0,398.0,1579.0,34.0,9.0,198.0,463.0,29.0
SW_S19S.0035_U_2,65.0,30.0,392.0,1520.0,29.0,6.0,185.0,450.0,22.0
SW_S19S.0035_U_3,63.0,25.0,395.0,1546.0,34.0,12.0,196.0,462.0,30.0
SW_S19S.0036_U_1,97.0,34.0,333.0,1678.0,47.0,15.0,301.0,452.0,43.0
SW_S19S.0036_U_2,76.0,21.0,220.0,1276.0,27.0,12.0,223.0,363.0,18.0
SW_S19S.0036_U_3,84.0,28.0,232.0,1514.0,45.0,8.0,280.0,414.0,20.0
SW_S19S.0037_U_1,59.0,24.0,224.0,1252.0,47.0,9.0,228.0,286.0,8.0
SW_S19S.0037_U_2,94.0,47.0,396.0,1700.0,60.0,11.0,333.0,422.0,27.0
SW_S19S.0038_U_1,67.0,25.0,229.0,1253.0,36.0,13.0,212.0,299.0,6.0
SW_S19S.0038_U_2,26.0,2.0,55.0,653.0,17.0,7.0,101.0,130.0,1.0
SW_S19S.0038_U_3,93.0,28.0,281.0,1463.0,63.0,12.0,283.0,334.0,11.0
SW_S19S.0039_U_1,130.0,76.0,393.0,1810.0,100.0,12.0,426.0,450.0,27.0
SW_S19S.0039_U_2,130.0,78.0,373.0,1627.0,76.0,12.0,405.0,457.0,22.0
SW_S19S.0039_U_3,131.0,72.0,349.0,1780.0,103.0,13.0,442.0,447.0,23.0
SW_S19S.0040_U_2,63.0,31.0,239.0,1810.0,58.0,11.0,280.0,214.0,39.0
SW_S19S.0040_U_3,58.0,40.0,189.0,1752.0,61.0,16.0,304.0,151.0,44.0
SW_S19S.0041_U_1,61.0,15.0,297.0,1176.0,27.0,5.0,200.0,343.0,13.0
SW_S19S.0041_U_2,58.0,18.0,263.0,1299.0,47.0,12.0,249.0,326.0,23.0
SW_S19S.0041_U_3,78.0,27.0,385.0,1470.0,39.0,7.0,248.0,381.0,23.0
SW_S19S.0042_U_1,97.0,37.0,440.0,1668.0,47.0,12.0,283.0,482.0,14.0
SW_S19S.0042_U_2,94.0,34.0,474.0,1754.0,42.0,11.0,288.0,482.0,18.0
SW_S19S.0042_U_3,66.0,23.0,359.0,1382.0,24.0,7.0,195.0,403.0,5.0
SW_S19S.0043_U_1,76.0,33.0,250.0,1707.0,42.0,14.0,301.0,332.0,19.0
SW_S19S.0043_U_2,67.0,31.0,281.0,1768.0,51.0,12.0,304.0,361.0,19.0
