ID,Algal.Mat.Coverage,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,Depositional.Type,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,Macrophyte.Coverage,NO2_mgL,NO3_mgL,NPOC_mg.L.asC,Number.Days.Since.Precip,Precipitation.Within.Week,Primary.Sources.Flow.Variation,resprate_mg.L.h,Sediment_Bedrock,Stream_Order,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,altS,MAT,MAP,cluster
SED_S19S.0001_D_Field,3,1,1,1,1,1,1,1,1,1,1,1,1,2.35,1,1,1,1,1,9,1,17,35,9.9,1770,sed_2
SED_S19S.0001_M_Field,3,1,1,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,1,9,1,16,35,9.9,1770,sed_2
SED_S19S.0001_U_Field,3,1,1,1,1,1,1,1,1,1,2,1,1,3.17,1,1,1,1,1,9,1,19,347,8.7,299,sed_2
SED_S19S.0003_D_Field,3,0.3,1,-18.75,1,1,0.07,0,2,1,1,0.04,0.19,17.21,1,1,1,1,2,7,1,35,347,8.7,299,sed_2
SED_S19S.0003_M_Field,3,0.3,1,-18.75,1,1,0.07,0,2,1,1,0.04,0.19,30.92,1,1,1,1,2,7,1,30,347,8.7,299,sed_1
SED_S19S.0003_U_Field,3,0.3,1,-18.75,1,1,0.07,0,2,1,1,0.04,0.19,11.28,1,1,1,1,2,7,1,27,346,7.7,449,sed_2
SED_S19S.0004_M_Field,3,1.83,1,-17.13,-129.3,1,0.07,1,2,1,2,0.04,0.12,18.34,1,1,1,1,3,6,1,19,346,7.7,449,sed_0
SED_S19S.0006_D_Field,3,311.31,1,1,1,1,0.02,3,1,1,1,0.04,6.43,5.96,6,2,18,1,3,2,2,6,346,7.7,449,sed_2
SED_S19S.0006_M_Field,3,311.31,1,1,1,3,0.02,3,1,1,1,0.04,6.43,5.27,6,2,18,1.05,3,2,1,10,115,12.5,1118,sed_2
SED_S19S.0006_U_Field,3,311.31,1,1,1,8,0.02,3,1,1,1,0.04,6.43,9.24,6,2,18,15.22,3,2,1,17,115,12.5,1118,sed_2
SED_S19S.0008_M_Field,3,0.22,1,-12.61,-86.4,4,0.03,4,2,1,2,0.04,0.12,30.38,4,1,2,3.41,1,1,3,22,115,12.5,1118,sed_1
SED_S19S.0009_M_Field,3,6.96,1,-16.86,-127.9,3,0.21,3,1,1,1,0.04,0.12,9.27,0,1,18,11.22,2,6,1,8,1792,9.1,907,sed_2
SED_S19S.0009_U_Field,3,6.96,1,-16.86,-127.9,3,0.21,3,1,1,1,0.04,0.12,11.85,0,1,18,7.32,2,6,1,6,2144,7.2,854,sed_2
SED_S19S.0010_D_Field,3,7.44,1,-2.9,-13.4,12,0.11,5,1,1,1,0.04,0.85,10.82,4,1,18,0.55,2,7,1,30,2144,7.2,854,sed_2
SED_S19S.0010_M_Field,3,7.44,1,-2.9,-13.4,12,0.11,5,1,1,1,0.04,0.85,20.73,4,1,18,0.99,2,7,1,30,2144,7.2,854,sed_0
SED_S19S.0010_U_Field,3,7.44,1,-2.9,-13.4,12,0.11,5,1,1,1,0.04,0.85,15.69,4,1,18,7.04,2,7,1,30,1504,7.4,209,sed_0
SED_S19S.0011_D_Field,3,3.07,3,-4.31,-20.6,1,0.07,7,2,1,1,0.04,2.99,21.3,1,1,18,81.75,2,5,1,100,1504,7.4,209,sed_0
SED_S19S.0011_M_Field,3,3.07,3,-4.31,-20.6,1,0.07,7,2,1,1,0.04,2.99,14.93,1,1,18,1,2,5,1,100,18,19.2,1255,sed_0
SED_S19S.0011_U_Field,3,3.07,3,-4.31,-20.6,1,0.07,7,2,1,1,0.04,2.99,21.27,1,1,18,6.28,2,5,3,100,18,19.2,1255,sed_2
SED_S19S.0012_D_Field,3,20.29,1,-8.05,-49.8,4,0.06,8,2,1,1,0.04,0.31,11.5,6,1,18,0.83,3,2,2,4,18,19.2,1255,sed_2
SED_S19S.0012_M_Field,3,20.29,1,-8.05,-49.8,1,0.06,8,2,1,1,0.04,0.31,13.44,6,1,18,1.92,3,2,2,5,195,16.3,1251,sed_2
SED_S19S.0012_U_Field,3,20.29,1,-8.05,-49.8,4,0.06,8,2,1,1,0.04,0.31,9.45,6,1,18,0.83,3,2,1,12,195,16.3,1251,sed_2
SED_S19S.0013_D_Field,3,2.85,1,-7.98,-47.5,8,0.06,8,1,1,1,0.04,0.97,19,1,1,2,1,3,1,1,9,195,16.3,1251,sed_2
SED_S19S.0013_M_Field,3,2.85,1,-7.98,-47.5,1,0.06,8,1,1,1,0.04,0.97,19.78,1,1,2,1,3,1,2,7,233,7.4,1166,sed_2
SED_S19S.0013_U_Field,3,2.85,1,-7.98,-47.5,1,0.06,8,1,1,1,0.04,0.97,16.73,1,1,2,1,3,1,4,3,233,7.4,1166,sed_2
SED_S19S.0014_D_Field,3,19.97,1,-7.9,-49.2,14,0.21,8,1,1,1,0.04,12.19,14.07,1,1,19,1,2,2,2,9,233,7.4,1166,sed_2
SED_S19S.0014_M_Field,3,19.97,1,-7.9,-49.2,1,0.21,8,1,1,1,0.04,12.19,12.25,1,1,19,1,2,2,2,15,316,11.2,1011,sed_2
SED_S19S.0014_U_Field,3,19.97,1,-7.9,-49.2,8,0.21,8,1,1,1,0.04,12.19,9.79,1,1,19,13.44,2,2,2,14,316,11.2,1011,sed_2
SED_S19S.0015_D_Field,3,6.12,2,-3.51,-19.6,1,0.07,11,1,1,1,0.04,4.28,26.63,0,1,3,4.22,1,7,2,222.504,316,11.2,1011,sed_0
SED_S19S.0015_U_Field,3,6.12,2,-3.51,-19.6,1,0.07,11,1,1,1,0.04,4.28,10.74,0,1,3,3.18,1,7,2,94.488,135,12,972,sed_2
SED_S19S.0016_D_Field,3,1.9,1,-6.01,-38.9,8,0.36,6,1,3,1,0.04,0.12,6.38,0,1,18,2.82,3,2,3,17,135,12,972,sed_2
SED_S19S.0016_M_Field,2,1.9,1,-6.01,-38.9,4,0.36,6,1,3,1,0.04,0.12,21.16,0,1,18,1,3,2,2,15,135,12,972,sed_2
SED_S19S.0016_U_Field,2,1.9,1,-6.01,-38.9,8,0.36,6,1,3,1,0.04,0.12,10.76,0,1,18,6.51,3,2,2,16,47,19.3,1331,sed_0
SED_S19S.0017_D_Field,3,2.52,1,-4.57,-26.9,8,0.16,12,1,1,1,0.04,1.2,7.86,0,1,18,15.05,3,3,3,14,47,19.3,1331,sed_2
SED_S19S.0017_M_Field,3,2.52,1,-4.57,-26.9,3,0.16,12,1,1,1,0.04,1.2,4.84,0,1,18,0.96,3,3,3,18.5,47,19.3,1331,sed_2
SED_S19S.0017_U_Field,3,2.52,1,-4.57,-26.9,1,0.16,12,1,1,1,0.04,1.2,4.33,0,1,18,4.16,3,3,4,5,341,12.2,859,sed_2
SED_S19S.0018_D_Field,3,0.39,1,1,1,8,0.06,13,2,1,1,0.04,0.71,11.1,1,1,2,1.47,3,2,2,15,341,12.2,859,sed_0
SED_S19S.0018_M_Field,3,0.39,1,1,1,8,0.06,13,2,1,1,0.04,0.71,15.31,1,1,2,0.44,3,2,2,26,341,12.2,859,sed_0
SED_S19S.0018_U_Field,3,0.39,1,1,1,1,0.06,13,2,1,1,0.04,0.71,17.34,1,1,2,2.89,3,2,2,9,392,12.1,876,sed_0
SED_S19S.0019_D_Field,3,0.81,1,-6.15,-34.5,1,0.05,8,2,1,2,0.04,0.23,9.92,1,1,2,1.43,3,1,4,6,392,12.1,876,sed_2
SED_S19S.0019_M_Field,3,0.81,1,-6.15,-34.5,1,0.05,8,2,1,2,0.04,0.23,13.1,1,1,2,11.47,3,1,2,8,392,12.1,876,sed_2
